Iてt,る,UВitq(そ痉),IてBzq(そ痉),l肝q(そ痉),┏错q(そ痉),甫嵌q(ネη)(そ痉) ,IてZ(%),oqq(a),扳qq(a),扳qv(%),扳q┮o(じ)
ず打,1,8138.72,12592.88,0,2170.66,362.76,71,2848.43,1376,48.31,2670673
ず打,2,10505.2,13314.91,298,1494,413.77,70,2772.73,1302.8,46.99,2448181
ず打,3,18575.07,13404.61,0,1876.01,375.96,67,2830.2,1347.2,47.6,2735469
ず打,4,15226.98,12516.62,0,1557.31,406.24,68,2380.42,1057.2,44.41,1918128
ず打,5,13982.63,11814.97,0,1760.51,332.57,76,2640.62,1130.8,42.82,1943649
ず打,6,3381.39,11376.6,0,1304.08,271.6,82,2424.41,984.8,40.62,1780517
ず打,7,3270.42,478.12,0,0,27.26,82,102.79,28.8,28.02,50970
ず打,8,6309.72,8021.86,0,566.99,228.03,83,1769.49,797.6,45.08,1268449
ず打,9,12392.82,14290.52,0,1495.21,479.79,75,2995.98,1371.2,45.77,2542946
ず打,10,21470.4,14321.73,0,1947.16,394.88,68,3264.96,1671.6,51.2,2863957
ず打,11,15279.6,14744.27,0,2359.97,484.96,73,3372.36,1802.8,53.46,3358654
ず打,12,16649.54,15140.42,0,1890.07,434.61,68,3424.36,1821.2,53.18,3256742
れ],1,,,,,,,,,,
れ],2,,,,,,,,,,
れ],3,,,,,,,,,,
れ],4,,,,,,,,,,
れ],5,,,,,,,,,,
れ],6,,,,,,,,,,
れ],7,,,,,,,,,,
れ],8,,,,,,,,,,
れ],9,,,,,,,,,,
れ],10,,,,,,,,,,
れ],11,,,,,,,,,,
れ],12,,,,,,,,,,
