年度,大職業別,經常性薪資-薪資,經常性薪資-女/男,國中及以下-薪資,國中及以下-女/男,高中或高職-薪資,高中或高職-女/男,專科-薪資,專科-女/男,大學-薪資,大學-女/男,研究所及以上-薪資,研究所及以上-女/男
2015,工業及服務業部門,26230,97.87,21836,98.47,22980,97.37,24824,97.57,27655,98.06,32638,98.78
2015,工業及服務業部門-專業人員,32988,98.74,—,—,—,—,—,—,30920,98.59,35934,98.94
2015,工業及服務業部門-技術員及助理專業人員,27924,98.84,—,—,—,—,25904,98.15,27886,98.77,31634,99.3
2015,工業及服務業部門-事務支援人員,25232,97.65,—,—,22814,98.18,24191,97.94,26087,98.15,29708,99.04
2015,工業及服務業部門-服務及銷售工作人員,23962,98.41,22312,98.77,22835,98.34,24208,98.3,25831,98.58,—,—
2015,工業及服務業部門-技藝、機械設備操作及組裝人員,24751,97.34,—,—,23666,96.45,24875,97.21,26300,98.01,—,—
2015,工業及服務業部門-基層技術工及勞力工,21979,98.13,21612,98.27,22260,98.07,—,—,—,—,—,—
2015,工業部門,26120,97.78,21742,98.24,22900,97.3,24701,97.47,27542,97.92,32553,98.48
2015,工業部門-專業人員,32712,98.54,—,—,—,—,—,—,30546,98.33,35663,98.56
2015,工業部門-技術員及助理專業人員,27417,98.63,—,—,—,—,25466,97.99,27429,98.5,31219,98.97
2015,工業部門-事務支援人員,25156,97.72,—,—,22782,98.09,24131,97.95,26085,98.29,29721,98.98
2015,工業部門-服務及銷售工作人員,25044,98.09,22216,98.19,23423,98.21,25262,97.76,27570,98.25,—,—
2015,工業部門-技藝、機械設備操作及組裝人員,24313,97.12,—,—,23240,96.49,24453,96.98,25890,97.65,—,—
2015,工業部門-基層技術工及勞力工,21971,98.06,21629,98.23,22233,97.96,—,—,—,—,—,—
2015,礦業及土石採取業,26570,92.75,22148,95.55,24087,88.18,25505,88.69,30232,95.28,32088,98.72
2015,礦業及土石採取業-專業人員,37246,98.26,—,—,—,—,—,—,36880,96.95,37772,100
2015,礦業及土石採取業-技術員及助理專業人員,29499,92.27,—,—,—,—,28940,91.75,29313,92.42,30450,92.63
2015,礦業及土石採取業-事務支援人員,23618,96.4,—,—,21971,98.16,23533,95.01,25250,98.63,25875,100
2015,礦業及土石採取業-服務及銷售工作人員,23625,…,—,—,23625,…,23625,…,—,—,—,—
2015,礦業及土石採取業-技藝、機械設備操作及組裝人員,27809,87.07,—,—,27481,85.04,28088,86.26,28688,93.1,—,—
2015,礦業及土石採取業-基層技術工及勞力工,22426,95.25,22148,95.55,22715,94.86,—,—,—,—,—,—
2015,製造業,26044,97.95,21596,98.44,22765,97.69,24573,97.73,27448,98.07,32592,98.52
2015,製造業-專業人員,32632,98.51,—,—,—,—,—,—,30377,98.35,35663,98.53
2015,製造業-技術員及助理專業人員,27222,98.75,—,—,—,—,25224,98.13,27247,98.64,31113,99.1
2015,製造業-事務支援人員,25225,97.84,—,—,22802,98.15,24133,98.01,26142,98.34,29874,99.03
2015,製造業-服務及銷售工作人員,24974,98.07,22010,98.37,23281,98.12,25180,97.73,27545,98.23,—,—
2015,製造業-技藝、機械設備操作及組裝人員,24116,97.6,—,—,22978,97.17,24251,97.42,25773,98.01,—,—
2015,製造業-基層技術工及勞力工,21831,98.24,21489,98.44,22089,98.12,—,—,—,—,—,—
2015,電力及燃氣供應業,29086,97.54,20603,96.19,25228,94.05,27221,95.71,30371,97.66,35113,99.12
2015,電力及燃氣供應業-專業人員,35193,99.3,—,—,—,—,—,—,33474,98.34,37896,100
2015,電力及燃氣供應業-技術員及助理專業人員,30214,99.24,—,—,—,—,28319,97.73,30731,99.7,33242,100
2015,電力及燃氣供應業-事務支援人員,27217,96.73,—,—,24813,98.07,25901,97.79,27933,96.55,32732,97.25
2015,電力及燃氣供應業-服務及銷售工作人員,26133,98.75,—,—,24737,…,26007,…,30000,…,—,—
2015,電力及燃氣供應業-技藝、機械設備操作及組裝人員,27924,90.46,—,—,27785,89.78,27962,89.9,28039,91.69,—,—
2015,電力及燃氣供應業-基層技術工及勞力工,22179,95.47,20603,96.19,23008,96.96,—,—,—,—,—,—
2015,用水供應及污染整治業,26205,97.48,22061,98.6,23958,96.38,26379,95.94,28464,97.91,31144,98.29
2015,用水供應及污染整治業-專業人員,33277,98.13,—,—,—,—,—,—,32179,98.13,35137,98.31
2015,用水供應及污染整治業-技術員及助理專業人員,30103,99.29,—,—,—,—,28431,98.13,30378,99.78,32664,99.59
2015,用水供應及污染整治業-事務支援人員,24780,97.47,—,—,22839,98.12,24250,98.21,25937,98.84,27847,97.95
2015,用水供應及污染整治業-服務及銷售工作人員,27921,100,26235,…,26242,100,28499,100,30048,100,—,—
2015,用水供應及污染整治業-技藝、機械設備操作及組裝人員,27097,97.29,—,—,26499,98.5,27359,95.89,27887,95.9,—,—
2015,用水供應及污染整治業-基層技術工及勞力工,22314,97.54,21783,98.26,22722,97.09,—,—,—,—,—,—
2015,營造業,26558,96.69,23562,97.66,23606,95.85,25307,96.24,27748,96.35,32034,97.61
2015,營造業-專業人員,32627,98.64,—,—,—,—,—,—,31014,98.41,35075,98.21
2015,營造業-技術員及助理專業人員,28577,98.23,—,—,—,—,27155,98.84,28214,96.95,31874,97.51
2015,營造業-事務支援人員,24489,97.33,—,—,22477,97.65,23896,97.9,25281,98.12,28571,98.85
2015,營造業-服務及銷售工作人員,25243,97.16,24119,95.97,24537,97.99,25621,96.2,26782,97.65,—,—
2015,營造業-技藝、機械設備操作及組裝人員,25487,96.93,—,—,24679,96.44,25758,97.71,26650,95.64,—,—
2015,營造業-基層技術工及勞力工,23663,99.07,23423,98.05,23892,100.17,—,—,—,—,—,—
2015,服務業部門,26393,97.94,21940,98.68,23107,97.42,25013,97.66,27818,98.21,32764,99.2
2015,服務業部門-專業人員,33427,98.93,—,—,—,—,—,—,31488,98.75,36396,99.52
2015,服務業部門-技術員及助理專業人員,28786,99.05,—,—,—,—,26737,98.26,28628,99.04,32265,99.75
2015,服務業部門-事務支援人員,25332,97.53,—,—,22859,98.29,24271,97.91,26091,97.97,29694,99.11
2015,服務業部門-服務及銷售工作人員,23429,98.82,22356,99.04,22594,98.57,23673,98.92,24812,99.07,—,—
2015,服務業部門-技藝、機械設備操作及組裝人員,26145,98.53,—,—,25133,97.23,26192,98.45,27484,99.07,—,—
2015,服務業部門-基層技術工及勞力工,21992,98.25,21583,98.35,22306,98.25,—,—,—,—,—,—
2015,批發及零售業,25547,98.12,22322,99.44,23036,97.57,24543,98.08,26695,98.31,31164,99.08
2015,批發及零售業-專業人員,32874,99.18,—,—,—,—,—,—,30990,99.23,35540,99.19
2015,批發及零售業-技術員及助理專業人員,27680,98.89,—,—,—,—,25989,98.26,27820,98.45,30670,99.75
2015,批發及零售業-事務支援人員,24860,97.95,—,—,22815,97.94,24087,98.38,25556,98.56,28335,98.97
2015,批發及零售業-服務及銷售工作人員,23341,98.95,22632,99.52,22646,99.2,23494,98.89,24329,98.74,—,—
2015,批發及零售業-技藝、機械設備操作及組裝人員,25111,98.73,—,—,24540,96.64,25129,99.39,25871,99.7,—,—
2015,批發及零售業-基層技術工及勞力工,22336,98.63,21803,99.09,22646,98.45,—,—,—,—,—,—
2015,運輸及倉儲業,26793,97.08,23037,98.94,24537,95.27,26147,94.72,28404,97.58,31023,98.89
2015,運輸及倉儲業-專業人員,34501,99.38,—,—,—,—,—,—,33322,99.25,36254,99.48
2015,運輸及倉儲業-技術員及助理專業人員,29907,97.57,—,—,—,—,28913,93.74,29670,99.34,31856,99.58
2015,運輸及倉儲業-事務支援人員,25131,96.35,—,—,23077,96.52,24299,96.21,26079,96.95,28324,98.51
2015,運輸及倉儲業-服務及銷售工作人員,25432,98.69,23192,98.37,23707,98.59,25746,98.3,27757,99.08,—,—
2015,運輸及倉儲業-技藝、機械設備操作及組裝人員,27663,99.95,—,—,26885,99.27,27522,99.14,29168,99.76,—,—
2015,運輸及倉儲業-基層技術工及勞力工,23523,98.09,22989,99.08,23891,97.49,—,—,—,—,—,—
2015,住宿及餐飲業,23734,99.2,21845,99.02,22559,99.29,23714,99.29,25167,99.17,28349,99.67
2015,住宿及餐飲業-專業人員,29405,99.11,—,—,—,—,—,—,28582,98.5,30938,100
2015,住宿及餐飲業-技術員及助理專業人員,26813,99.97,—,—,—,—,25802,100,26945,99.93,28439,100
2015,住宿及餐飲業-事務支援人員,24311,99.35,—,—,23266,100.37,23729,99.26,24786,98.66,26623,99.64
2015,住宿及餐飲業-服務及銷售工作人員,22765,99.33,22212,98.84,22329,99.03,22943,99.48,23548,99.9,—,—
2015,住宿及餐飲業-技藝、機械設備操作及組裝人員,24946,99.04,—,—,23868,99.45,24910,98.58,26276,98.99,—,—
2015,住宿及餐飲業-基層技術工及勞力工,21800,99.27,21415,99.46,22091,99.21,—,—,—,—,—,—
2015,資訊及通訊傳播業,27135,97.96,21622,98.17,22743,98.5,24958,97.83,27478,98.39,32135,99.61
2015,資訊及通訊傳播業-專業人員,31148,99.06,—,—,—,—,—,—,29352,98.55,34274,99.98
2015,資訊及通訊傳播業-技術員及助理專業人員,27926,99.07,—,—,—,—,26196,98.27,27470,99,31164,99.5
2015,資訊及通訊傳播業-事務支援人員,25313,98.19,—,—,22621,98.31,24176,98.3,25728,99.26,29764,99.89
2015,資訊及通訊傳播業-服務及銷售工作人員,24355,99.11,21717,97.94,22803,98.12,24217,99.07,26210,99.59,—,—
2015,資訊及通訊傳播業-技藝、機械設備操作及組裝人員,25486,98.07,—,—,24009,100,25743,97.83,26812,96.84,—,—
2015,資訊及通訊傳播業-基層技術工及勞力工,21634,98.8,21457,98.77,21696,98.86,—,—,—,—,—,—
2015,金融及保險業,30794,98.94,22578,99.72,24971,97.24,26933,99.22,30787,98.88,35934,99.23
2015,金融及保險業-專業人員,36045,99.05,—,—,—,—,—,—,33706,99.28,38425,99.06
2015,金融及保險業-技術員及助理專業人員,31037,99.76,—,—,—,—,27155,99.78,30495,99.65,35011,100
2015,金融及保險業-事務支援人員,29455,98.83,—,—,25119,99.68,27069,99.81,29447,98.27,34185,99.06
2015,金融及保險業-服務及銷售工作人員,26184,99.12,22903,100,24117,96.82,25691,100.3,28213,98.93,—,—
2015,金融及保險業-技藝、機械設備操作及組裝人員,28026,94.61,—,—,26809,89.23,26998,92.89,30074,98.32,—,—
2015,金融及保險業-基層技術工及勞力工,22621,99.56,22253,99.44,22867,99.64,—,—,—,—,—,—
2015,不動產業,26563,97.92,21591,100,22769,97.79,25374,99.45,27657,97.82,32250,99.39
2015,不動產業-專業人員,33617,99.18,—,—,—,—,—,—,33310,98.63,34176,100
2015,不動產業-技術員及助理專業人員,27938,98.99,—,—,—,—,25370,97.17,27338,99.23,33087,100
2015,不動產業-事務支援人員,25100,98.5,—,—,22573,98.84,25276,100.52,25632,98.84,29390,98.71
2015,不動產業-服務及銷售工作人員,25055,99.93,23669,…,23646,99.71,25739,100.49,25806,99.74,—,—
2015,不動產業-技藝、機械設備操作及組裝人員,24663,97.26,—,—,23797,92.29,25204,100,25204,100,—,—
2015,不動產業-基層技術工及勞力工,20105,100,20032,100,20179,100,—,—,—,—,—,—
2015,專業、科學及技術服務業,28283,97.48,21988,99.22,23134,98.58,25271,98.05,28796,97.89,35667,99.34
2015,專業、科學及技術服務業-專業人員,34546,98.76,—,—,—,—,—,—,31757,98.26,38881,99.99
2015,專業、科學及技術服務業-技術員及助理專業人員,29028,98.8,—,—,—,—,26783,99.2,28684,98.26,33600,99.95
2015,專業、科學及技術服務業-事務支援人員,26182,97.39,—,—,22785,99.16,24534,97.75,26964,98.37,32548,99.04
2015,專業、科學及技術服務業-服務及銷售工作人員,23546,98.47,22700,100,22978,98.48,23345,97.23,24423,99.34,—,—
2015,專業、科學及技術服務業-技藝、機械設備操作及組裝人員,25678,100.29,—,—,24179,99.65,25838,99.97,27294,100.26,—,—
2015,專業、科學及技術服務業-基層技術工及勞力工,22265,98.32,21439,98.97,22981,98.27,—,—,—,—,—,—
2015,支援服務業,24366,98.04,21190,98.62,22322,97.95,24146,98.07,26127,97.95,29980,99.08
2015,支援服務業-專業人員,30618,98.7,—,—,—,—,—,—,29271,98.83,32789,99.1
2015,支援服務業-技術員及助理專業人員,27250,99.6,—,—,—,—,25541,99.03,27413,99.92,30623,99.83
2015,支援服務業-事務支援人員,24032,97.72,—,—,22282,99.53,23454,98.09,24892,97.38,27692,99.7
2015,支援服務業-服務及銷售工作人員,23483,99.3,21906,99.84,22779,98.6,23869,99.36,24810,99.3,—,—
2015,支援服務業-技藝、機械設備操作及組裝人員,24874,97.44,—,—,23809,95.73,24938,98.29,26264,98.16,—,—
2015,支援服務業-基層技術工及勞力工,21052,97.83,20882,98.22,21209,97.5,—,—,—,—,—,—
2015,教育服務業,24730,96.64,21556,98.4,21907,98.31,23185,97.19,25162,96.44,29048,98.34
2015,教育服務業-專業人員,27535,96.96,—,—,—,—,—,—,26615,96.55,29737,98.94
2015,教育服務業-技術員及助理專業人員,26857,100,—,—,—,—,25667,…,26500,…,29000,…
2015,教育服務業-事務支援人員,23317,98.21,—,—,21553,98.89,22815,98.17,23643,98.5,27750,97.66
2015,教育服務業-服務及銷售工作人員,23678,94.93,22333,…,23000,…,24019,90.87,24324,91.9,—,—
2015,教育服務業-技藝、機械設備操作及組裝人員,24000,100,—,—,23429,…,24000,…,25000,…,—,—
2015,教育服務業-基層技術工及勞力工,20859,…,20003,…,21502,…,—,—,—,—,—,—
2015,醫療保健服務業,27520,98.83,22117,98.54,23364,98.49,25619,99.07,29664,99.11,33935,99.55
2015,醫療保健服務業-專業人員,36094,98.43,—,—,—,—,—,—,34405,98.2,38840,99.46
2015,醫療保健服務業-技術員及助理專業人員,29660,98.51,—,—,—,—,27496,98.78,29800,98.58,33028,99.08
2015,醫療保健服務業-事務支援人員,24838,98.67,—,—,22491,98.79,23915,99.02,25762,99.24,28516,100
2015,醫療保健服務業-服務及銷售工作人員,23849,99.52,22876,98.85,23321,99.2,24162,100,25106,100,—,—
2015,醫療保健服務業-技藝、機械設備操作及組裝人員,27338,99.64,—,—,25974,99.11,27460,99.9,29009,99.56,—,—
2015,醫療保健服務業-基層技術工及勞力工,21863,99.1,21516,98.55,22175,99.59,—,—,—,—,—,—
2015,藝術、娛樂及休閒服務業,24150,98.1,22013,99.23,22531,98.63,24271,98.06,25615,98.07,28143,99.23
2015,藝術、娛樂及休閒服務業-專業人員,29129,98.68,—,—,—,—,—,—,28351,98.34,30491,99.07
2015,藝術、娛樂及休閒服務業-技術員及助理專業人員,26953,99.02,—,—,—,—,26058,99.35,26523,97.52,29445,99.8
2015,藝術、娛樂及休閒服務業-事務支援人員,23504,98.73,—,—,22534,98.69,23151,99.23,24244,98.92,25464,99.73
2015,藝術、娛樂及休閒服務業-服務及銷售工作人員,23329,98.41,22642,99.17,22652,98,23815,98.29,24360,99.38,—,—
2015,藝術、娛樂及休閒服務業-技藝、機械設備操作及組裝人員,24754,98.87,—,—,23751,98.18,25070,99.02,25739,99.06,—,—
2015,藝術、娛樂及休閒服務業-基層技術工及勞力工,21787,99.72,21659,99.39,21892,100,—,—,—,—,—,—
2015,其他服務業,23614,96.93,20790,96.61,22090,97.79,23866,96.39,25828,96.84,29784,98.48
2015,其他服務業-專業人員,32436,100,—,—,—,—,—,—,30978,100,39000,…
2015,其他服務業-技術員及助理專業人員,28255,99.06,—,—,—,—,27020,98.48,28866,98.94,30000,100
2015,其他服務業-事務支援人員,24620,95.99,—,—,22818,98.08,24146,95.8,25846,95.47,28700,98.23
2015,其他服務業-服務及銷售工作人員,21400,98.66,21087,98.67,21086,98.61,21687,99.09,22179,98.54,—,—
2015,其他服務業-技藝、機械設備操作及組裝人員,24968,98.63,—,—,23565,98.67,25516,97.98,26438,98.37,—,—
2015,其他服務業-基層技術工及勞力工,20498,94.26,20109,91.19,20877,97.75,—,—,—,—,—,—
